symbol,signal_ts,mkt_snap_ts,entry_ts,lat_dec_s,lat_mkt_s,ma2_slots_occupied_at_entry,cross_strategy_holding_symbol_at_signal,n_real_competitors_same_slot,replay_first_fire_ts,replay_first_fire_delta_min,replay_pattern_persistence_bars_5m
INJUSDT,2026-07-19T16:30:55.979000,2026-07-19T16:30:54.052000,2026-07-19T16:30:56.811000,0.8,2.8,2,,0,2026-07-19T11:05:00,-325.9,85
BTCDOMUSDT,2026-07-19T17:27:01.598000,2026-07-19T17:27:00.078000,2026-07-19T17:27:02.306000,0.7,2.2,2,,0,2026-07-19T13:35:00,-232.0,79
TRBUSDT,2026-07-19T18:18:12.885000,2026-07-19T18:18:09.565000,2026-07-19T18:18:14.135000,1.2,4.6,2,,3,2026-07-19T18:00:00,-18.2,37
CFXUSDT,2026-07-19T22:05:40.604000,2026-07-19T22:05:38.622000,2026-07-19T22:05:43.095000,2.5,4.5,2,,0,2026-07-19T22:05:00,-0.7,26
ACUUSDT,2026-07-20T05:20:05.063000,2026-07-20T05:20:03.124000,2026-07-20T05:20:07.542000,2.5,4.4,2,,0,2026-07-20T03:05:00,-135.1,36
TRXUSDT,2026-07-20T16:14:11.320000,2026-07-20T16:14:08.660000,2026-07-20T16:14:12.652000,1.3,4.0,2,,0,2026-07-20T13:05:00,-189.2,68
CLUSDT,2026-07-20T20:01:40.714000,2026-07-20T20:01:38.729000,2026-07-20T20:01:44.388000,3.7,5.7,2,,1,2026-07-20T11:35:00,-506.7,68
TZAUSDT,2026-07-21T11:14:20.618000,2026-07-21T11:14:18.038000,2026-07-21T11:14:22.205000,1.6,4.2,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
RPLUSDT,2026-07-21T12:48:47.892000,2026-07-21T12:48:44.886000,2026-07-21T12:48:48.759000,0.9,3.9,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
ETHBTCUSDT,2026-07-21T16:09:16.005000,2026-07-21T16:09:14.063000,2026-07-21T16:09:18.196000,2.2,4.1,1,,1,NO_FIRE_OR_UNREPLAYABLE,,0
NEARUSDT,2026-07-21T19:11:17.234000,2026-07-21T19:11:14.894000,2026-07-21T19:11:18.121000,0.9,3.2,1,,0,2026-07-21T19:05:00,-6.3,22
EIGENUSDT,2026-07-21T19:15:44.771000,2026-07-21T19:15:42.793000,2026-07-21T19:15:45.870000,1.1,3.1,2,,0,2026-07-21T19:05:00,-10.7,24
AVAXUSDT,2026-07-21T23:20:24.427000,2026-07-21T23:20:22.483000,2026-07-21T23:20:29.994000,5.6,7.5,2,,0,2026-07-21T23:05:00,-15.4,35
REDUSDT,2026-07-22T07:11:13.258000,2026-07-22T07:11:11.332000,2026-07-22T07:11:13.912000,0.7,2.6,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
DOGEUSDT,2026-07-22T14:10:19.341000,2026-07-22T14:10:15.975000,2026-07-22T14:10:20.816000,1.5,4.8,2,,3,2026-07-22T08:05:00,-365.3,54
GLWUSDT,2026-07-22T17:59:52.525000,2026-07-22T17:59:49.287000,2026-07-22T17:59:56.722000,4.2,7.4,2,,0,2026-07-22T13:05:00,-294.9,31
ILVUSDT,2026-07-23T03:49:14.045000,2026-07-23T03:49:09.346000,2026-07-23T03:49:16.240000,2.2,6.9,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
PLAYUSDT,2026-07-23T12:56:23.263000,2026-07-23T12:56:19.808000,2026-07-23T12:56:24.319000,1.1,4.5,2,,1,2026-07-23T11:30:00,-86.4,19
GUNUSDT,2026-07-23T16:32:52.844000,2026-07-23T16:32:49.383000,2026-07-23T16:32:53.389000,0.5,4.0,2,,2,2026-07-23T16:05:00,-27.9,12
