Symbol,OpenedAt,Name
ESPORTSUSDT,2026-07-17 04:41:17.375161+00,FVG - 1m
BLUAIUSDT,2026-07-17 04:52:18.698275+00,FVG - 1m
JCTUSDT,2026-07-17 05:05:35.031637+00,FVG - 15m
MYXUSDT,2026-07-17 05:05:39.776906+00,FVG - 1m
LTCUSDT,2026-07-17 05:05:45.090108+00,MA Slope Caso 3 (15m)
AKEUSDT,2026-07-17 05:18:49.012841+00,FVG - 1m
TUSDT,2026-07-17 05:33:11.531859+00,Compresion ADN - Micro (5m)
AERGOUSDT,2026-07-17 05:33:17.912284+00,FVG - 1m
SPORTFUNUSDT,2026-07-17 05:33:26.116641+00,Standard Scalping
GRAMUSDT,2026-07-17 05:48:06.158707+00,FVG - 5m
SKYAIUSDT,2026-07-17 06:02:07.082992+00,FVG - 15m
ONDOUSDT,2026-07-17 06:15:58.958315+00,FVG - 15m
DEXEUSDT,2026-07-17 06:31:36.474257+00,FVG - 1m
LINKUSDT,2026-07-17 06:31:41.67522+00,MA Slope Caso 2
USARUSDT,2026-07-17 06:45:38.277554+00,FVG - 15m
BLESSUSDT,2026-07-17 06:45:43.080461+00,FVG - 1m
HOTUSDT,2026-07-17 06:59:40.3043+00,FVG - 15m
SOXSUSDT,2026-07-17 06:59:45.375687+00,FVG - 1m
WIFUSDT,2026-07-17 06:59:50.585593+00,MA Slope Caso 3 (15m)
TLMUSDT,2026-07-17 07:12:36.085618+00,FVG - 15m
EVAAUSDT,2026-07-17 07:12:40.835409+00,FVG - 1m
ROBOUSDT,2026-07-17 07:25:25.278869+00,FVG - 1m
AEROUSDT,2026-07-17 07:37:58.885397+00,FVG - 1m
RESOLVUSDT,2026-07-17 07:51:40.555597+00,FVG - 1m
RIVNUSDT,2026-07-17 08:05:08.625195+00,Compresion ADN - Micro (5m)
IDOLUSDT,2026-07-17 08:20:16.981908+00,Compresion ADN - Micro (5m)
DODOXUSDT,2026-07-17 08:32:36.184374+00,FVG - 1m
BUSDT,2026-07-17 08:45:04.557628+00,Compresion ADN - Micro (5m)
1000XECUSDT,2026-07-17 08:45:10.673635+00,FVG - 1m
GPSUSDT,2026-07-17 08:45:16.768488+00,FVG - 5m
LDOUSDT,2026-07-17 08:45:22.857891+00,MA Slope Caso 3 (15m)
ENSUSDT,2026-07-17 08:58:53.438775+00,Compresion ADN - Micro (5m)
VANRYUSDT,2026-07-17 08:58:59.966825+00,FVG - 1m
BIOUSDT,2026-07-17 09:12:36.665827+00,FVG - 5m
AAPLUSDT,2026-07-17 09:12:42.993779+00,MA Slope Caso 3 (15m)
SNXXUSDT,2026-07-17 10:38:36.796429+00,FVG - 1m
SKHYUSDT,2026-07-17 10:59:25.609182+00,FVG - 1m
OGNUSDT,2026-07-17 11:10:35.784247+00,FVG - 5m
ZESTUSDT,2026-07-17 12:14:31.833327+00,FVG - 1m
LUMIAUSDT,2026-07-17 12:23:56.590391+00,FVG - 1m
ALLOUSDT,2026-07-17 12:24:02.107131+00,FVG - 5m
BASEDUSDT,2026-07-17 12:24:08.167737+00,LSE Counter-Trend 
TREEUSDT,2026-07-17 12:28:13.031248+00,FVG - 1m
DYDXUSDT,2026-07-17 12:28:18.69003+00,LSE Counter-Trend 
HOMEUSDT,2026-07-17 12:32:32.453921+00,FVG - 1m
EPICUSDT,2026-07-17 12:47:15.669794+00,Compresion ADN - Micro (5m)
BILLUSDT,2026-07-17 12:47:19.748652+00,FVG - 15m
SYNUSDT,2026-07-17 12:47:25.840175+00,FVG - 1m
MUUUSDT,2026-07-17 12:55:36.791765+00,FVG - 1m
VELVETUSDT,2026-07-17 13:00:57.621722+00,FVG - 1m
KAITOUSDT,2026-07-17 13:12:34.094249+00,FVG - 1m
RPLUSDT,2026-07-17 13:20:40.189343+00,FVG - 1m
LABUSDT,2026-07-17 13:20:46.293084+00,MA Slope Caso 1
RIFUSDT,2026-07-17 13:27:42.165821+00,FVG - 1m
PTBUSDT,2026-07-17 13:27:48.22805+00,MA Clone
PTBUSDT,2026-07-17 13:27:52.34034+00,MA Cross Momentum
IBMUSDT,2026-07-17 13:28:00.52674+00,MA Slope Caso 1
PTBUSDT,2026-07-17 13:28:04.615555+00,Scalping Clone
PTBUSDT,2026-07-17 13:28:08.711079+00,Standard Scalping
NOMUSDT,2026-07-17 13:32:51.146853+00,FVG - 1m
DOTUSDT,2026-07-17 13:54:43.019599+00,MA Slope Caso 2
SXTUSDT,2026-07-17 14:01:41.475774+00,FVG - 1m
GALAUSDT,2026-07-17 14:01:47.570058+00,MA Slope Caso 2
ONEUSDT,2026-07-17 14:08:32.923654+00,FVG - 1m
XANUSDT,2026-07-17 14:12:09.91362+00,Arrow Reversal
MAGMAUSDT,2026-07-17 14:24:37.197437+00,FVG - 1m
FORMUSDT,2026-07-17 14:29:30.319595+00,FVG - 1m
WLDUSDT,2026-07-17 14:41:13.008938+00,Compresion ADN - Micro (5m)
CFXUSDT,2026-07-17 14:41:17.357475+00,MA Slope Caso 3
BZUSDT,2026-07-17 15:08:40.138463+00,MA Slope Caso 3 (15m)
MEUSDT,2026-07-17 15:25:58.294666+00,Compresion ADN - Micro (5m)
KORUUSDT,2026-07-17 15:26:03.239307+00,FVG - 1m
METUSDT,2026-07-17 15:26:07.303933+00,FVG - 5m
EWYUSDT,2026-07-17 15:26:13.41469+00,MA Slope Caso 1
REUSDT,2026-07-17 15:31:49.937434+00,FVG - 5m
TOWNSUSDT,2026-07-17 15:36:04.339554+00,FVG - 1m
AVAAIUSDT,2026-07-17 15:36:08.413701+00,FVG - 5m
NBISUSDT,2026-07-17 15:43:33.102246+00,FVG - 1m
LRCUSDT,2026-07-17 15:59:31.775215+00,FVG - 1m
AIGENSYNUSDT,2026-07-17 15:59:35.847127+00,FVG - 5m
HUMAUSDT,2026-07-17 16:08:52.951468+00,FVG - 1m
MMTUSDT,2026-07-17 16:08:59.086246+00,LSE Counter-Trend 
TRIAUSDT,2026-07-17 16:14:46.52797+00,FVG - 5m
AAOIUSDT,2026-07-17 16:19:21.794775+00,FVG - 1m
XLMUSDT,2026-07-17 16:30:54.604785+00,MA Slope Caso 2
XLMUSDT,2026-07-17 16:30:58.668153+00,MA Slope Caso 3 (15m)
RKLBUSDT,2026-07-17 16:43:09.322556+00,FVG - 15m
ARXUSDT,2026-07-17 16:58:00.861741+00,Standard Scalping
MSFTUSDT,2026-07-17 17:05:19.674682+00,MA Slope Caso 2
COWUSDT,2026-07-17 17:10:56.483254+00,FVG - 1m
ZHIPUUSDT,2026-07-17 17:11:03.194462+00,LSE Counter-Trend 
ZHIPUUSDT,2026-07-17 17:11:06.803952+00,MA Cross Momentum
4USDT,2026-07-17 17:11:15.674891+00,MA Slope Caso 2
ZHIPUUSDT,2026-07-17 17:11:20.333376+00,Scalping Clone
ZHIPUUSDT,2026-07-17 17:11:24.807516+00,Standard Scalping
SAFEUSDT,2026-07-17 17:22:47.964531+00,FVG - 1m
UBUSDT,2026-07-17 17:32:22.939426+00,FVG - 1m
MVLLUSDT,2026-07-17 17:57:26.655998+00,FVG - 1m
XAUUSDT,2026-07-17 18:09:09.710487+00,MA Slope Caso 3 (15m)
SOXLUSDT,2026-07-17 18:13:43.034691+00,FVG - 5m
USUSDT,2026-07-17 18:33:58.856998+00,FVG - 5m
MANTRAUSDT,2026-07-17 18:42:07.892876+00,FVG - 15m
INTWUSDT,2026-07-17 19:10:39.160576+00,FVG - 15m
TAGUSDT,2026-07-17 19:14:29.311862+00,FVG - 1m
ASTSUSDT,2026-07-17 19:36:43.733033+00,FVG - 15m
ETHFIUSDT,2026-07-17 19:45:26.910842+00,Compresion ADN - Micro (5m)
CFGUSDT,2026-07-17 19:45:30.769749+00,FVG - 1m
VVVUSDT,2026-07-17 20:08:46.368464+00,FVG - 1m
BOTUSDT,2026-07-17 20:12:26.890529+00,FVG - 1m
QNTXUSDT,2026-07-17 20:28:00.468218+00,FVG - 1m
ENJUSDT,2026-07-17 20:42:39.595269+00,Compresion ADN - Micro (5m)
AXTIUSDT,2026-07-17 20:42:43.24401+00,FVG - 1m
BLURUSDT,2026-07-17 20:50:57.034575+00,FVG - 1m
GWEIUSDT,2026-07-17 20:59:53.632483+00,FVG - 1m
MUBARAKUSDT,2026-07-17 20:59:58.180766+00,FVG - 5m
STXXUSDT,2026-07-17 21:10:54.536893+00,FVG - 5m
MOVEUSDT,2026-07-17 21:32:26.303894+00,FVG - 1m
MUUSDT,2026-07-17 21:36:36.586079+00,FVG - 1m
STABLEUSDT,2026-07-17 21:36:41.894274+00,FVG - 5m
USELESSUSDT,2026-07-17 22:13:38.884496+00,FVG - 15m
CLOUSDT,2026-07-17 22:13:44.549381+00,FVG - 1m
AIAUSDT,2026-07-17 22:24:44.498374+00,FVG - 1m
SNDKUSDT,2026-07-17 22:47:55.709435+00,FVG - 1m
1000BONKUSDT,2026-07-17 22:59:24.269781+00,FVG - 1m
UNIUSDT,2026-07-17 23:10:34.894404+00,FVG - 1m
ETCUSDT,2026-07-17 23:10:40.103046+00,MA Slope Caso 3
EDGEUSDT,2026-07-17 23:23:53.104255+00,Compresion ADN - Micro (5m)
EDGEUSDT,2026-07-17 23:23:56.344097+00,FVG - 1m
TRADOORUSDT,2026-07-17 23:24:01.579074+00,FVG - 5m
INJUSDT,2026-07-17 23:24:07.647617+00,MA Slope Caso 3
COLLECTUSDT,2026-07-17 23:46:09.025878+00,FVG - 1m
JASMYUSDT,2026-07-17 23:57:14.847467+00,FVG - 1m
SPELLUSDT,2026-07-18 00:09:09.628381+00,FVG - 15m
AERGOUSDT,2026-07-18 00:09:19.759799+00,Standard Scalping
STBLUSDT,2026-07-18 00:50:55.004305+00,MA Slope Caso 1
NATGASUSDT,2026-07-18 01:12:54.293777+00,MA Slope Caso 3
EGLDUSDT,2026-07-18 01:24:32.888139+00,FVG - 1m
SLXUSDT,2026-07-18 01:56:13.398315+00,FVG - 1m
ALABUSDT,2026-07-18 02:07:13.143203+00,FVG - 15m
FWDIUSDT,2026-07-18 02:07:18.030515+00,FVG - 1m
FLOCKUSDT,2026-07-18 02:18:38.290197+00,FVG - 1m
DOODUSDT,2026-07-18 02:18:44.464225+00,FVG - 5m
BSBUSDT,2026-07-18 02:29:43.271878+00,FVG - 1m
AGLDUSDT,2026-07-18 02:29:48.564193+00,FVG - 5m
SYRUPUSDT,2026-07-18 02:40:35.290183+00,FVG - 1m
ZKUSDT,2026-07-18 03:02:25.678816+00,Compresion ADN - Micro (5m)
SYNUSDT,2026-07-18 03:02:31.511234+00,FVG - 1m
DODOXUSDT,2026-07-18 03:02:36.494808+00,FVG - 5m
ZROUSDT,2026-07-18 03:18:52.029574+00,Compresion ADN - Micro (5m)
1000XECUSDT,2026-07-18 03:18:58.405055+00,FVG - 1m
SOXSUSDT,2026-07-18 03:19:04.499878+00,FVG - 5m
FRAXUSDT,2026-07-18 03:19:18.645718+00,Standard Scalping
MEWUSDT,2026-07-18 03:43:34.699106+00,Standard Scalping
USUSDT,2026-07-18 04:02:26.11542+00,FVG - 1m
HEIUSDT,2026-07-18 04:02:30.411162+00,FVG - 5m
BILLUSDT,2026-07-18 04:15:57.333866+00,FVG - 1m
BILLUSDT,2026-07-18 04:16:01.409004+00,FVG - 5m
SUSHIUSDT,2026-07-18 04:30:47.947697+00,Compresion ADN - Micro (5m)
INTWUSDT,2026-07-18 04:30:53.609708+00,FVG - 5m
AGTUSDT,2026-07-18 04:45:43.84077+00,FVG - 1m
GWEIUSDT,2026-07-18 04:45:49.072879+00,FVG - 5m
AVAAIUSDT,2026-07-18 05:00:01.770486+00,FVG - 1m
TOSHIUSDT,2026-07-18 05:00:07.585628+00,FVG - 5m
KORUUSDT,2026-07-18 05:13:59.29762+00,FVG - 15m
CLOUSDT,2026-07-18 05:14:05.395544+00,FVG - 1m
STARUSDT,2026-07-18 05:31:43.917153+00,FVG - 1m
TACUSDT,2026-07-18 05:52:50.622544+00,FVG - 1m
EDGEUSDT,2026-07-18 06:06:17.589807+00,FVG - 1m
METUSDT,2026-07-18 06:20:53.149292+00,FVG - 1m
BULLAUSDT,2026-07-18 06:35:41.348454+00,Arrow Reversal
BULLAUSDT,2026-07-18 06:35:44.48854+00,
MYXUSDT,2026-07-18 06:35:50.001262+00,FVG - 15m
HOMEUSDT,2026-07-18 06:35:55.364471+00,FVG - 1m
XPINUSDT,2026-07-18 06:50:30.880798+00,FVG - 1m
BIRBUSDT,2026-07-18 07:03:54.168551+00,FVG - 1m
RAVEUSDT,2026-07-18 07:17:22.126857+00,Arrow Reversal
RAVEUSDT,2026-07-18 07:17:25.366138+00,
ZBTUSDT,2026-07-18 07:17:30.16059+00,FVG - 1m
ALLOUSDT,2026-07-18 07:33:07.460861+00,FVG - 1m
OUSDT,2026-07-18 07:47:42.734869+00,FVG - 1m
BANKUSDT,2026-07-18 07:47:47.283837+00,FVG - 5m
RESOLVUSDT,2026-07-18 08:02:20.415353+00,FVG - 1m
TRADOORUSDT,2026-07-18 08:15:47.057732+00,FVG - 1m
LUMIAUSDT,2026-07-18 08:29:25.163128+00,FVG - 1m
TUSDT,2026-07-18 08:29:31.203986+00,FVG - 5m
GUSDT,2026-07-18 08:29:35.863625+00,MA Clone
GUSDT,2026-07-18 08:29:39.037859+00,MA Cross Momentum
GUSDT,2026-07-18 08:29:47.522023+00,Scalping Clone
GUSDT,2026-07-18 08:29:51.031844+00,Standard Scalping
龙虾USDT,2026-07-18 08:43:01.535138+00,FVG - 1m
ESPORTSUSDT,2026-07-18 08:57:18.641611+00,FVG - 1m
QUSDT,2026-07-18 09:11:46.187375+00,FVG - 1m
QUSDT,2026-07-18 09:11:48.933997+00,FVG - 5m
VVVUSDT,2026-07-18 09:27:13.86519+00,FVG - 5m
MEMEUSDT,2026-07-18 09:40:52.736814+00,Compresion ADN - Micro (5m)
GALAUSDT,2026-07-18 09:41:01.85208+00,FVG - 1m
ARXUSDT,2026-07-18 09:41:07.946567+00,FVG - 5m
ZESTUSDT,2026-07-18 09:54:15.002275+00,FVG - 1m
UBUSDT,2026-07-18 09:54:20.979574+00,FVG - 5m
KITEUSDT,2026-07-18 10:08:22.720827+00,FVG - 1m
BSBUSDT,2026-07-18 10:22:17.080608+00,FVG - 1m
SPKUSDT,2026-07-18 10:34:46.275682+00,Compresion ADN - Micro (5m)
ETHFIUSDT,2026-07-18 10:34:50.892162+00,FVG - 1m
PHAUSDT,2026-07-18 10:47:21.963011+00,FVG - 1m
DOODUSDT,2026-07-18 10:47:27.495052+00,FVG - 5m
TREEUSDT,2026-07-18 10:59:56.384966+00,FVG - 15m
POWRUSDT,2026-07-18 11:13:29.026445+00,FVG - 1m
POWRUSDT,2026-07-18 11:13:31.736818+00,FVG - 5m
MAGMAUSDT,2026-07-18 11:29:25.756912+00,FVG - 15m
BTWUSDT,2026-07-18 11:29:30.62779+00,FVG - 1m
TLMUSDT,2026-07-18 11:54:20.769067+00,FVG - 1m
FFUSDT,2026-07-18 11:54:25.563679+00,FVG - 5m
SAFEUSDT,2026-07-18 12:07:37.34463+00,FVG - 15m
BUSDT,2026-07-18 12:07:42.759395+00,FVG - 1m
TRIAUSDT,2026-07-18 12:17:24.690574+00,MA Clone
TRIAUSDT,2026-07-18 12:17:28.812806+00,MA Cross Momentum
TRIAUSDT,2026-07-18 12:17:38.992164+00,Scalping Clone
TRIAUSDT,2026-07-18 12:17:43.103665+00,Standard Scalping
HEMIUSDT,2026-07-18 12:31:28.497944+00,FVG - 1m
PTBUSDT,2026-07-18 12:31:34.588151+00,FVG - 5m
BANUSDT,2026-07-18 13:35:47.713726+00,FVG - 1m
BEUSDT,2026-07-18 13:35:52.505894+00,MA Slope Caso 1
ALCHUSDT,2026-07-18 13:48:24.564374+00,Compresion ADN - Micro (5m)
VANRYUSDT,2026-07-18 14:13:54.192373+00,FVG - 1m
FLOCKUSDT,2026-07-18 14:13:58.275958+00,FVG - 5m
COAIUSDT,2026-07-18 14:29:00.229182+00,FVG - 1m
UAIUSDT,2026-07-18 14:55:15.289124+00,FVG - 1m
USUALUSDT,2026-07-18 14:55:21.36076+00,FVG - 5m
LABUSDT,2026-07-18 15:02:53.687124+00,FVG - 1m
AKEUSDT,2026-07-18 15:20:27.166924+00,FVG - 1m
MMTUSDT,2026-07-18 15:20:33.270784+00,FVG - 5m
WLDUSDT,2026-07-18 15:29:31.160862+00,FVG - 1m
RENDERUSDT,2026-07-18 15:29:37.241401+00,LSE Counter-Trend 
HYPEUSDT,2026-07-18 15:29:41.285744+00,MA Slope Caso 1
IDOLUSDT,2026-07-18 15:34:35.912291+00,FVG - 1m
ORCLUSDT,2026-07-18 15:34:39.972544+00,MA Slope Caso 1
BLURUSDT,2026-07-18 15:50:24.765969+00,FVG - 1m
ACEUSDT,2026-07-18 15:50:29.147107+00,FVG - 5m
NOMUSDT,2026-07-18 15:59:10.052119+00,FVG - 1m
KATUSDT,2026-07-18 16:34:34.198254+00,FVG - 15m
SOXLUSDT,2026-07-18 16:42:43.469913+00,FVG - 15m
QTUMUSDT,2026-07-18 17:02:44.69855+00,Standard Scalping
BASEDUSDT,2026-07-18 17:17:45.921792+00,MA Slope Caso 2
PHAUSDT,2026-07-18 17:23:58.106298+00,Standard Scalping
NEARUSDT,2026-07-18 17:56:40.872022+00,LSE Counter-Trend 
MORPHOUSDT,2026-07-18 18:08:53.05482+00,LSE Counter-Trend 
ERAUSDT,2026-07-18 18:22:48.355825+00,FVG - 15m
LDOUSDT,2026-07-18 18:48:24.936969+00,MA Slope Caso 2
BSBUSDT,2026-07-18 19:14:15.589555+00,Standard Scalping
JCTUSDT,2026-07-18 19:41:22.602474+00,LSE Counter-Trend 
TLMUSDT,2026-07-18 19:48:46.720342+00,Standard Scalping
ZAMAUSDT,2026-07-18 19:56:41.120335+00,MA Slope Caso 2
VIRTUALUSDT,2026-07-18 20:09:16.925811+00,FVG - 5m
LYNUSDT,2026-07-18 20:19:37.632852+00,Standard Scalping
CATIUSDT,2026-07-18 20:33:36.772401+00,FVG - 1m
IRYSUSDT,2026-07-18 20:41:59.674757+00,FVG - 1m
AWEUSDT,2026-07-18 20:42:27.287778+00,Standard Scalping
FWDIUSDT,2026-07-18 20:55:31.585623+00,FVG - 5m
ROBOUSDT,2026-07-18 21:11:03.740949+00,FVG - 1m
1000BONKUSDT,2026-07-18 21:27:55.360932+00,FVG - 5m
MUBARAKUSDT,2026-07-18 21:57:14.167189+00,FVG - 15m
REUSDT,2026-07-18 22:02:39.392745+00,FVG - 15m
EVAAUSDT,2026-07-18 22:02:43.477361+00,FVG - 1m
TRBUSDT,2026-07-18 22:02:47.536514+00,MA Slope Caso 3
BTRUSDT,2026-07-18 22:09:03.133762+00,FVG - 1m
CTRUSDT,2026-07-18 22:09:09.201451+00,MA Clone
CTRUSDT,2026-07-18 22:09:13.261951+00,Scalping Clone
CTRUSDT,2026-07-18 22:09:17.309819+00,Standard Scalping
GUAUSDT,2026-07-18 22:12:46.273798+00,FVG - 5m
AEROUSDT,2026-07-18 22:17:56.702262+00,FVG - 15m
ONDOUSDT,2026-07-18 22:23:05.59988+00,FVG - 5m
SLXUSDT,2026-07-18 22:36:08.909607+00,FVG - 15m
ARIAUSDT,2026-07-18 22:36:14.970558+00,FVG - 5m
JASMYUSDT,2026-07-18 22:57:42.72671+00,FVG - 1m
BTRUSDT,2026-07-18 23:05:01.900068+00,Standard Scalping
COLLECTUSDT,2026-07-18 23:10:45.565107+00,FVG - 1m
YFIUSDT,2026-07-18 23:29:59.776465+00,FVG - 1m
XAIUSDT,2026-07-18 23:30:03.87623+00,FVG - 5m
AWEUSDT,2026-07-18 23:48:45.659114+00,Standard Scalping
ONEUSDT,2026-07-18 23:56:17.848197+00,FVG - 1m
AXTIUSDT,2026-07-19 00:10:27.538567+00,LSE Counter-Trend 
SENTUSDT,2026-07-19 00:14:39.48121+00,FVG - 15m
PARTIUSDT,2026-07-19 00:14:44.900325+00,FVG - 1m
TIAUSDT,2026-07-19 00:30:52.05763+00,FVG - 15m
PUMPBTCUSDT,2026-07-19 00:59:49.44243+00,FVG - 1m
SNXXUSDT,2026-07-19 01:11:40.713001+00,FVG - 15m
KAITOUSDT,2026-07-19 01:27:55.840266+00,FVG - 15m
TAIKOUSDT,2026-07-19 01:28:05.957634+00,FVG - 1m
TRUTHUSDT,2026-07-19 01:32:37.784494+00,FVG - 1m
ONGUSDT,2026-07-19 02:04:00.455493+00,FVG - 1m
COMPUSDT,2026-07-19 02:09:24.204562+00,MA Slope Caso 3
AUSDT,2026-07-19 02:55:11.165639+00,FVG - 1m
AGLDUSDT,2026-07-19 03:01:34.017832+00,LSE Counter-Trend 
ROBOUSDT,2026-07-19 03:10:55.125941+00,FVG - 1m
TLMUSDT,2026-07-19 03:55:58.718815+00,FVG - 15m
AEROUSDT,2026-07-19 04:10:23.145691+00,FVG - 15m
MUSDT,2026-07-19 04:10:28.039528+00,MA Slope Caso 2
GUSDT,2026-07-19 04:25:54.94384+00,MA Clone
GUSDT,2026-07-19 04:25:59.304741+00,MA Cross Momentum
GUSDT,2026-07-19 04:26:07.169024+00,Scalping Clone
TRADOORUSDT,2026-07-19 04:40:57.313721+00,FVG - 15m
REUSDT,2026-07-19 04:41:02.738762+00,FVG - 1m
EVAAUSDT,2026-07-19 04:49:18.61+00,FVG - 15m
BANKUSDT,2026-07-19 04:49:21.984201+00,FVG - 1m
LABUSDT,2026-07-19 04:59:34.36011+00,FVG - 1m
TREEUSDT,2026-07-19 05:10:41.111565+00,FVG - 15m
CLOUSDT,2026-07-19 05:10:50.126877+00,FVG - 1m
STARUSDT,2026-07-19 05:19:41.64565+00,FVG - 15m
BRUSDT,2026-07-19 05:19:46.586833+00,FVG - 1m
LUMIAUSDT,2026-07-19 05:25:04.731277+00,FVG - 1m
BILLUSDT,2026-07-19 05:29:05.766127+00,FVG - 1m
BIRBUSDT,2026-07-19 05:43:08.25781+00,Standard Scalping
AUSDT,2026-07-19 06:04:53.57533+00,FVG - 1m
1000XECUSDT,2026-07-19 06:09:58.330708+00,FVG - 5m
ACEUSDT,2026-07-19 06:28:27.086309+00,FVG - 15m
VANAUSDT,2026-07-19 06:46:19.661955+00,FVG - 1m
VANRYUSDT,2026-07-19 06:56:34.646939+00,FVG - 1m
HOMEUSDT,2026-07-19 07:08:49.262264+00,FVG - 5m
BILLUSDT,2026-07-19 07:08:57.345922+00,Standard Scalping
ARXUSDT,2026-07-19 07:13:26.851556+00,FVG - 15m
HFTUSDT,2026-07-19 07:13:32.931751+00,FVG - 1m
ARIAUSDT,2026-07-19 07:17:33.715972+00,FVG - 1m
TACUSDT,2026-07-19 07:24:46.032482+00,FVG - 1m
MAGMAUSDT,2026-07-19 07:24:50.499787+00,FVG - 5m
SHELLUSDT,2026-07-19 07:25:02.343187+00,Standard Scalping
RPLUSDT,2026-07-19 16:30:40.421954+00,Compresion ADN - Micro (5m)
BLESSUSDT,2026-07-19 16:30:44.497397+00,FVG - 15m
REZUSDT,2026-07-19 16:30:48.571404+00,FVG - 1m
YGGUSDT,2026-07-19 16:30:52.640732+00,FVG - 5m
INJUSDT,2026-07-19 16:30:56.811388+00,MA Slope Caso 2
CLUSDT,2026-07-19 16:31:01.102204+00,MA Slope Caso 3
NEWTUSDT,2026-07-19 16:31:05.191951+00,MA Slope Caso 3 (15m)
TUSDT,2026-07-19 16:36:50.579587+00,FVG - 15m
GUAUSDT,2026-07-19 16:36:56.644079+00,FVG - 1m
PHAUSDT,2026-07-19 16:37:00.720593+00,FVG - 5m
SOLUSDT,2026-07-19 16:37:10.865107+00,MA Slope Caso 3 (15m)
YBUSDT,2026-07-19 16:43:07.071827+00,FVG - 1m
YBUSDT,2026-07-19 16:43:10.217257+00,FVG - 5m
SCRTUSDT,2026-07-19 16:49:28.513341+00,FVG - 5m
KAITOUSDT,2026-07-19 16:56:50.629208+00,FVG - 1m
EDENUSDT,2026-07-19 17:03:38.352076+00,FVG - 1m
HUMAUSDT,2026-07-19 17:03:44.491127+00,FVG - 5m
ONGUSDT,2026-07-19 17:12:22.466017+00,FVG - 5m
0GUSDT,2026-07-19 17:16:16.223807+00,Compresion ADN - Micro (5m)
HEIUSDT,2026-07-19 17:23:35.122299+00,FVG - 15m
BLUAIUSDT,2026-07-19 17:26:50.085536+00,FVG - 1m
TAGUSDT,2026-07-19 17:26:58.20179+00,FVG - 5m
BTCDOMUSDT,2026-07-19 17:27:02.306492+00,MA Slope Caso 2
SOLVUSDT,2026-07-19 17:42:19.186111+00,FVG - 1m
GWEIUSDT,2026-07-19 17:42:24.569685+00,FVG - 5m
BEUSDT,2026-07-19 18:17:55.827158+00,Compresion ADN - Micro (5m)
FWDIUSDT,2026-07-19 18:18:01.906964+00,FVG - 15m
AVAAIUSDT,2026-07-19 18:18:08.011316+00,FVG - 1m
TRBUSDT,2026-07-19 18:18:14.135121+00,MA Slope Caso 2
AKEUSDT,2026-07-19 19:04:39.279702+00,FVG - 15m
DEXEUSDT,2026-07-19 19:04:44.763937+00,FVG - 1m
SKLUSDT,2026-07-19 19:04:50.02062+00,FVG - 5m
ESPORTSUSDT,2026-07-19 19:19:04.486769+00,FVG - 1m
ZAMAUSDT,2026-07-19 19:19:10.594837+00,MA Slope Caso 3 (15m)
PARTIUSDT,2026-07-19 19:33:37.371961+00,FVG - 1m
ZBTUSDT,2026-07-19 19:33:42.35166+00,FVG - 5m
AIOUSDT,2026-07-19 19:47:22.405453+00,Compresion ADN - Micro (5m)
PUMPUSDT,2026-07-19 19:47:27.684417+00,FVG - 1m
HEMIUSDT,2026-07-19 20:00:18.12553+00,FVG - 1m
SNXXUSDT,2026-07-19 20:13:16.393742+00,FVG - 15m
BUSDT,2026-07-19 20:13:23.05556+00,FVG - 1m
MANTRAUSDT,2026-07-19 20:13:31.587651+00,FVG - 5m
USUSDT,2026-07-19 20:26:35.512516+00,FVG - 15m
VELVETUSDT,2026-07-19 20:48:34.788742+00,FVG - 1m
MYXUSDT,2026-07-19 20:59:51.243311+00,Compresion ADN - Micro (5m)
GOOGLUSDT,2026-07-19 21:10:33.997927+00,Compresion ADN - Micro (5m)
PLUMEUSDT,2026-07-19 21:18:25.148556+00,FVG - 15m
THEUSDT,2026-07-19 21:18:34.661888+00,FVG - 1m
USUALUSDT,2026-07-19 21:22:04.830703+00,FVG - 15m
ONEUSDT,2026-07-19 21:22:08.093111+00,FVG - 1m
PROMUSDT,2026-07-19 21:27:05.669419+00,FVG - 1m
HOLOUSDT,2026-07-19 21:34:38.913896+00,FVG - 15m
ALLOUSDT,2026-07-19 21:46:40.452883+00,FVG - 15m
HYPERUSDT,2026-07-19 21:59:10.622152+00,FVG - 1m
BTWUSDT,2026-07-19 22:05:37.579859+00,FVG - 1m
CFXUSDT,2026-07-19 22:05:43.09569+00,MA Slope Caso 2
XLMUSDT,2026-07-19 22:05:49.167913+00,MA Slope Caso 3
CBRSUSDT,2026-07-19 22:14:41.544613+00,MA Slope Caso 1
MERLUSDT,2026-07-19 22:28:49.800052+00,FVG - 1m
TRUTHUSDT,2026-07-19 22:55:40.499173+00,FVG - 1m
MUUUSDT,2026-07-19 23:01:51.66421+00,Standard Scalping
LDOUSDT,2026-07-19 23:11:54.199292+00,Arrow Reversal
LDOUSDT,2026-07-19 23:11:58.25941+00,
AZTECUSDT,2026-07-19 23:16:58.055251+00,FVG - 1m
IBMUSDT,2026-07-19 23:17:02.115722+00,MA Slope Caso 3
SKLUSDT,2026-07-19 23:18:49.618916+00,Standard Scalping
FARTCOINUSDT,2026-07-19 23:32:35.492686+00,MA Slope Caso 1
SYNUSDT,2026-07-20 00:03:46.921015+00,FVG - 1m
KORUUSDT,2026-07-20 00:10:00.83443+00,Standard Scalping
TRUMPUSDT,2026-07-20 00:14:45.580178+00,FVG - 1m
