Symbol,OpenedAt,Name
FFUSDT,2026-07-13 19:59:03.742684+00,Compresion ADN - Micro (5m)
ZBTUSDT,2026-07-13 20:12:49.726372+00,Compresion ADN - Micro (5m)
AUSDT,2026-07-13 20:51:22.878463+00,Compresion ADN - Micro (5m)
C98USDT,2026-07-13 21:16:22.626695+00,MA Slope Caso 2
SAFEUSDT,2026-07-13 22:12:15.325116+00,MA Slope Caso 2
KITEUSDT,2026-07-13 22:24:38.098167+00,LSE Counter-Trend 
VANRYUSDT,2026-07-13 22:36:13.123266+00,MA Clone
VANRYUSDT,2026-07-13 22:36:19.250563+00,MA Cross Momentum
VANRYUSDT,2026-07-13 22:36:32.729064+00,Scalping Clone
VANRYUSDT,2026-07-13 22:36:38.825076+00,Standard Scalping
IDUSDT,2026-07-13 23:10:08.551941+00,FVG - 15m
COOKIEUSDT,2026-07-13 23:10:16.644343+00,FVG - 1m
ALLOUSDT,2026-07-13 23:10:22.734205+00,FVG - 5m
MANTAUSDT,2026-07-13 23:10:30.830372+00,MA Slope Caso 2
VICUSDT,2026-07-13 23:21:23.422397+00,FVG - 15m
SYNUSDT,2026-07-13 23:21:35.537634+00,FVG - 1m
PROMUSDT,2026-07-13 23:21:41.649146+00,FVG - 5m
USUALUSDT,2026-07-13 23:33:47.481566+00,FVG - 15m
LINEAUSDT,2026-07-13 23:33:55.583272+00,FVG - 1m
LAUSDT,2026-07-13 23:34:01.659059+00,FVG - 5m
MMTUSDT,2026-07-13 23:47:47.42927+00,FVG - 15m
THEUSDT,2026-07-13 23:47:59.551455+00,FVG - 1m
STGUSDT,2026-07-13 23:48:05.618841+00,FVG - 5m
0GUSDT,2026-07-13 23:59:40.514986+00,FVG - 15m
TUTUSDT,2026-07-13 23:59:48.586217+00,FVG - 1m
TUSDT,2026-07-14 00:12:03.350275+00,FVG - 1m
APRUSDT,2026-07-14 00:20:45.291355+00,Compresion ADN - Micro (5m)
HYUNDAIUSDT,2026-07-14 00:20:51.333266+00,FVG - 1m
EVAAUSDT,2026-07-14 00:20:57.392358+00,FVG - 5m
