symbol,side,opened,entry,sl0,tp0,exitReason,exitBar,finalLevel,pnl
NAORISUSDT,0,2026-06-22T00:21:37.0000000Z,0.03716,0.03497499,0.04213089,sl,23,3,1.3800000000000000000000000000
JCTUSDT,0,2026-06-22T01:44:32.0000000Z,0.005872,0.00565779,0.00662174,sl,0,0,-5.5919856948228882833787465939
JCTUSDT,0,2026-06-22T01:44:40.0000000Z,0.005837,0.00558858,0.00670648,sl,0,0,-6.5039301010793215692992975843
JCTUSDT,0,2026-06-22T06:58:17.0000000Z,0.005848,0.00542133,0.00681867,sl,66,0,-11.063997948016415868673050616
EVAAUSDT,0,2026-06-22T07:58:19.0000000Z,0.8143,0.79480566,0.8825302,sl,0,0,-3.7109996315854107822669777724
EVAAUSDT,0,2026-06-22T08:03:36.0000000Z,0.8159,0.79311191,0.8956583,sl,0,0,-4.3095005515381786983698982719
EVAAUSDT,0,2026-06-22T08:03:50.0000000Z,0.8155,0.79272308,0.8952192,sl,0,0,-4.3095009196811771919068056407
CRDOUSDT,0,2026-06-22T08:13:22.0000000Z,283.31,280.165259,294.3165935,sl,0,0,-1.7850000000000000000000000001
LUMIAUSDT,1,2026-06-22T10:08:32.0000000Z,0.12359,0.12703816,0.11255588,sl,8,2,0.6300000000000000000000000000
CTRUSDT,0,2026-06-22T10:13:12.0000000Z,0.0112,0.01102797,0.0117505,sl,11,3,1.3800000000000000000000000000
WUSDT,0,2026-06-22T10:28:29.0000000Z,0.01231,0.0118352,0.01382935,sl,1,1,-0.12
USARUSDT,0,2026-06-22T10:48:23.0000000Z,25.9,25.514608,27.248872,sl,0,0,-2.3520000000000000000000000000
EULUSDT,0,2026-06-22T11:13:26.0000000Z,1.097,1.08377018,1.14330437,sl,0,0,-1.9290000000000000000000000000
EVAAUSDT,0,2026-06-22T11:33:13.0000000Z,0.8142,0.7752161,0.90288836,sl,16,3,1.3800000000000000000000000000
AKEUSDT,0,2026-06-22T11:33:21.0000000Z,0.0003771,0.00036789,0.00040934,sl,2,0,-3.7834844868735083532219570405
AKEUSDT,0,2026-06-22T11:33:30.0000000Z,0.0003768,0.00036759,0.00040902,sl,6,1,-0.12
NOMUSDT,0,2026-06-22T14:28:49.0000000Z,0.001776,0.00173966,0.00190318,sl,1,3,1.3800000000000000000000000000
PORTALUSDT,0,2026-06-22T14:39:14.0000000Z,0.0163,0.01589609,0.0177137,sl,0,0,-3.8369631901840490797546012271
PORTALUSDT,0,2026-06-22T14:43:58.0000000Z,0.01612,0.01577761,0.01731836,sl,0,0,-3.3060111662531017369727047147
PORTALUSDT,0,2026-06-22T14:44:07.0000000Z,0.01617,0.01576931,0.01757242,sl,0,0,-3.8369758812615955473098330241
ZROUSDT,0,2026-06-22T16:27:43.0000000Z,0.9706,0.95842868,1.01319963,sl,3,3,1.3800000000000000000000000000
PORTALUSDT,0,2026-06-22T18:32:41.0000000Z,0.01615,0.01546395,0.01771077,sl,5,0,-6.4919814241486068111455108362
4USDT,0,2026-06-22T19:01:41.0000000Z,0.008886,0.0086674,0.0093833,sl,5,3,1.3800000000000000000000000000
ROBOUSDT,0,2026-06-22T19:31:40.0000000Z,0.02006,0.01986381,0.02074665,sl,0,0,-1.5870239282153539381854436690
APEUSDT,0,2026-06-22T19:41:40.0000000Z,0.1417,0.14016114,0.14708602,sl,0,0,-1.7489978828510938602681721948
ROBOUSDT,0,2026-06-22T22:51:36.0000000Z,0.02006,0.01966763,0.02095265,sl,11,0,-3.0539730807577268195413758724
APEUSDT,0,2026-06-22T23:41:39.0000000Z,0.1417,0.13862228,0.14870182,sl,15,0,-3.3779957657021877205363443895
LAYERUSDT,0,2026-06-23T01:51:51.0000000Z,0.07567,0.07331818,0.08390138,sl,1,2,0.6300000000000000000000000000
LAYERUSDT,0,2026-06-23T01:52:02.0000000Z,0.07534,0.07299843,0.08353549,sl,1,2,0.6300000000000000000000000000
AVAAIUSDT,0,2026-06-23T03:02:56.0000000Z,0.005786,0.00566068,0.00622464,sl,1,3,1.3800000000000000000000000000
SAGAUSDT,0,2026-06-23T03:23:43.0000000Z,0.01466,0.01436651,0.01568723,sl,10,3,1.3800000000000000000000000000
ESPORTSUSDT,0,2026-06-23T04:18:51.0000000Z,0.02902,0.02778375,0.03334688,sl,4,3,1.3800000000000000000000000000
SAGAUSDT,0,2026-06-23T05:19:10.0000000Z,0.01466,0.01436651,0.01568723,sl,2,3,1.3800000000000000000000000000
SAGAUSDT,0,2026-06-23T06:03:48.0000000Z,0.01465,0.01414721,0.01579384,sl,1,1,-0.12
龙虾USDT,1,2026-06-23T06:33:47.0000000Z,0.011502,0.01231082,0.00981965,sl,8,3,1.3800000000000000000000000001
BELUSDT,0,2026-06-23T07:38:52.0000000Z,0.18056,0.16977876,0.21505996,sl,1,3,1.3799999999999999999999999999
MMTUSDT,0,2026-06-23T11:33:55.0000000Z,0.2038,0.19548496,0.23290264,sl,1,2,0.6300000000000000000000000000
MMTUSDT,0,2026-06-23T11:43:55.0000000Z,0.204,0.1942896,0.2379864,sl,1,2,0.6300000000000000000000000000
USUSDT,0,2026-06-23T12:59:20.0000000Z,0.015716,0.01493523,0.01734,sl,1,3,1.3800000000000000000000000000
USUSDT,0,2026-06-23T13:03:54.0000000Z,0.0157,0.01531001,0.01694796,sl,1,3,1.3800000000000000000000000000
HEIUSDT,0,2026-06-23T13:43:52.0000000Z,0.08701,0.08505228,0.09386204,sl,7,3,1.3800000000000000000000000000
HEIUSDT,0,2026-06-23T13:44:03.0000000Z,0.087,0.083085,0.09590662,sl,7,3,1.3800000000000000000000000000
USUSDT,0,2026-06-23T13:58:48.0000000Z,0.015702,0.01524696,0.01715814,sl,1,1,-0.12
USUSDT,0,2026-06-23T15:03:51.0000000Z,0.015734,0.01527803,0.01719311,sl,13,0,-4.4669874157874666327697978899
XLMUSDT,0,2026-06-23T15:34:29.0000000Z,0.19385,0.19010482,0.20237029,sl,41,2,0.6300000000000000000000000000
NAORISUSDT,0,2026-06-23T17:15:49.0000000Z,0.03409,0.03335366,0.0364463,tp,0,0,10.247996479906130830155470813
AVAAIUSDT,0,2026-06-23T21:37:29.0000000Z,0.00608,0.00586592,0.00682927,sl,10,3,1.3800000000000000000000000000
SWARMSUSDT,1,2026-06-23T22:44:14.0000000Z,0.007021,0.00711789,0.00668189,sl,2,3,1.3800000000000000000000000000
POPCATUSDT,0,2026-06-23T23:54:45.0000000Z,0.05246,0.05002376,0.05752738,sl,2,3,1.3800000000000000000000000000
POPCATUSDT,0,2026-06-23T23:59:23.0000000Z,0.05248,0.05126141,0.05637947,sl,2,3,1.3800000000000000000000000000
POPCATUSDT,0,2026-06-23T23:59:33.0000000Z,0.05251,0.0510875,0.05706199,sl,2,3,1.3800000000000000000000000000
POPCATUSDT,0,2026-06-23T23:59:45.0000000Z,0.05245,0.05102913,0.05699679,sl,2,3,1.3800000000000000000000000000
SAHARAUSDT,0,2026-06-24T02:49:24.0000000Z,0.01268,0.0123985,0.01366524,sl,0,0,-3.4500473186119873817034700315
AIOUSDT,0,2026-06-24T03:39:30.0000000Z,0.12986,0.12665765,0.14106822,sl,0,0,-3.8190027722162328661635607577
